state,city,full_address,price,atmb_link,gmaps_link
FL,Largo,"7381 114th Ave, Largo, FL 33773",$13.99,https://www.anytimemailbox.com/s/largo-7381-114th-avenue,https://www.google.com/maps/place/7381+114th+Ave%2C+Largo%2C+FL+33773
FL,"Fort Myers","13300 South Cleveland Ave, Fort Myers, FL 33907",$16.99,https://www.anytimemailbox.com/s/fort-myers-13300-south-cleveland-avenue,https://www.google.com/maps/place/13300+South+Cleveland+Ave%2C+Fort+Myers%2C+FL+33907
FL,"Bonita Springs","3250 Bonita Beach Rd, Bonita Springs, FL 34134",$19.99,https://www.anytimemailbox.com/s/bonita-springs-3250-bonita-beach-road,https://www.google.com/maps/place/3250+Bonita+Beach+Rd%2C+Bonita+Springs%2C+FL+34134
FL,Sunrise,"4300 N University Dr, Sunrise, FL 33351",$19.99,https://www.anytimemailbox.com/s/sunrise-4300-n-university-drive,https://www.google.com/maps/place/4300+N+University+Dr%2C+Sunrise%2C+FL+33351
FL,Doral,"8400 NW 33rd St, Doral, FL 33122",$29.99,https://www.anytimemailbox.com/s/doral-8400-nw-33rd-street,https://www.google.com/maps/place/8400+NW+33rd+St%2C+Doral%2C+FL+33122
FL,"Palm Beach Gardens","4440 PGA Blvd, Palm Beach Gardens, FL 33410",$29.99,https://www.anytimemailbox.com/s/palm-beach-gardens-4440-pga-blvd,https://www.google.com/maps/place/4440+PGA+Blvd%2C+Palm+Beach+Gardens%2C+FL+33410
FL,"West Palm Beach","700 S Rosemary Ave, West Palm Beach, FL 33401",$69.00,https://www.anytimemailbox.com/s/west-palm-beach-700-s-rosemary-ave,https://www.google.com/maps/place/700+S+Rosemary+Ave%2C+West+Palm+Beach%2C+FL+33401
GA,Columbus,"4519 Woodruff Rd, Columbus, GA 31904",$9.99,https://www.anytimemailbox.com/s/columbus-4519-woodruff-road,https://www.google.com/maps/place/4519+Woodruff+Rd%2C+Columbus%2C+GA+31904
GA,Morrow,"2250 Lake Harbin Rd, Morrow, GA 30260",$9.99,https://www.anytimemailbox.com/s/morrow-2250-lake-harbin-road,https://www.google.com/maps/place/2250+Lake+Harbin+Rd%2C+Morrow%2C+GA+30260
GA,Atlanta,"1700 Northside Drive, Atlanta, GA 30318",$11.99,https://www.anytimemailbox.com/s/atlanta-1700-northside-drive,https://www.google.com/maps/place/1700+Northside+Drive%2C+Atlanta%2C+GA+30318
GA,Atlanta,"300 Peachtree St NE, Atlanta, GA 30308",$12.99,https://www.anytimemailbox.com/s/atlanta-300-peachtree-street-ne,https://www.google.com/maps/place/300+Peachtree+St+NE%2C+Atlanta%2C+GA+30308
GA,Atlanta,"245 N Highland Ave NE, Atlanta, GA 30307",$22.99,https://www.anytimemailbox.com/s/atlanta-245-n-highland-ave,https://www.google.com/maps/place/245+N+Highland+Ave+NE%2C+Atlanta%2C+GA+30307
IL,Westmont,"36 North Cass Ave, Westmont, IL 60559",$9.99,https://www.anytimemailbox.com/s/westmont-36-north-cass-ave,https://www.google.com/maps/place/36+North+Cass+Ave%2C+Westmont%2C+IL+60559
IL,"Tinley Park","16649 Oak Park Ave, Tinley Park, IL 60477",$11.99,https://www.anytimemailbox.com/s/tinley-park-16649-oak-park-ave,https://www.google.com/maps/place/16649+Oak+Park+Ave%2C+Tinley+Park%2C+IL+60477
IL,Chicago,"6641 W Belmont Ave, Chicago, IL 60634",$12.99,https://www.anytimemailbox.com/s/chicago-6641-belmont-avenue,https://www.google.com/maps/place/6641+W+Belmont+Ave%2C+Chicago%2C+IL+60634
IL,Chicago,"211 W Wacker Dr, Chicago, IL 60606",$14.95,https://www.anytimemailbox.com/s/chicago-211-w-wacker-drive-suite-120,https://www.google.com/maps/place/211+W+Wacker+Dr%2C+Chicago%2C+IL+60606
IL,Chicago,"3838 N Ravenswood Ave, Chicago, IL 60613",$19.99,https://www.anytimemailbox.com/s/chicago-3838-n-ravenswood-ave,https://www.google.com/maps/place/3838+N+Ravenswood+Ave%2C+Chicago%2C+IL+60613
IL,Chicago,"211 W Wacker Dr, Chicago, IL 60606",$19.99,https://www.anytimemailbox.com/s/chicago-211-w-wacker-drive-suite-300,https://www.google.com/maps/place/211+W+Wacker+Dr%2C+Chicago%2C+IL+60606
IL,Danville,"2 E Main St, Danville, IL 61832",$24.99,https://www.anytimemailbox.com/s/danville-2-e-main-street,https://www.google.com/maps/place/2+E+Main+St%2C+Danville%2C+IL+61832
IL,Deerfield,"570 Lake Cook Rd, Deerfield, IL 60015",$64.99,https://www.anytimemailbox.com/s/deerfield-570-lake-cook-road,https://www.google.com/maps/place/570+Lake+Cook+Rd%2C+Deerfield%2C+IL+60015
LA,"Baton Rouge","440 3rd St, Baton Rouge, LA 70802",$39.00,https://www.anytimemailbox.com/s/baton-rouge-440-3rd-street,https://www.google.com/maps/place/440+3rd+St%2C+Baton+Rouge%2C+LA+70802
MA,Worcester,"100 Front St, Worcester, MA 01608",$49.99,https://www.anytimemailbox.com/s/worcester-100-front-street,https://www.google.com/maps/place/100+Front+St%2C+Worcester%2C+MA+01608
MD,"Linthicum Heights","1190 Winterson Rd, Linthicum Heights, MD 21090",$9.99,https://www.anytimemailbox.com/s/linthicum-heights-1190-winterson-road,https://www.google.com/maps/place/1190+Winterson+Rd%2C+Linthicum+Heights%2C+MD+21090
MD,Baltimore,"1400 W. Lombard Street, Baltimore, MD 21223",$10.99,https://www.anytimemailbox.com/s/baltimore-1400-w-lombard-street,https://www.google.com/maps/place/1400+W.+Lombard+Street%2C+Baltimore%2C+MD+21223
MO,"Platte City","1302 Platte Falls Rd, Platte City, MO 64079",$9.99,https://www.anytimemailbox.com/s/platte-city-1302-platte-falls-road,https://www.google.com/maps/place/1302+Platte+Falls+Rd%2C+Platte+City%2C+MO+64079
MO,"Kansas City","215 W Pershing Rd, Kansas City, MO 64108",$14.99,https://www.anytimemailbox.com/s/kansas-city-215-w-pershing-road,https://www.google.com/maps/place/215+W+Pershing+Rd%2C+Kansas+City%2C+MO+64108
MS,Madison,"272 Calhoun Station Pkwy, Madison, MS 39110",$17.99,https://www.anytimemailbox.com/s/gluckstadt-272-calhoun-station-parkway,https://www.google.com/maps/place/272+Calhoun+Station+Pkwy%2C+Madison%2C+MS+39110
MT,Bozeman,"1800 S 22nd Ave, Bozeman, MT 59718",$14.99,https://www.anytimemailbox.com/s/bozeman-1800-s-22nd-avenue,https://www.google.com/maps/place/1800+S+22nd+Ave%2C+Bozeman%2C+MT+59718
MT,Bozeman,"40 Spanish Peak Dr, Bozeman, MT 59718",$14.99,https://www.anytimemailbox.com/s/bozeman-40-spanish-peak-drive,https://www.google.com/maps/place/40+Spanish+Peak+Dr%2C+Bozeman%2C+MT+59718
NC,Archdale,"313 Trindale Rd, Archdale, NC 27263",$9.99,https://www.anytimemailbox.com/s/archdale-313-trindale-road,https://www.google.com/maps/place/313+Trindale+Rd%2C+Archdale%2C+NC+27263
NC,Clayton,"63 Sarazen Dr, Clayton, NC 27527",$9.99,https://www.anytimemailbox.com/s/clayton-63-sarazen-drive,https://www.google.com/maps/place/63+Sarazen+Dr%2C+Clayton%2C+NC+27527
NC,Leland,"1108 New Pointe Blvd, Leland, NC 28451",$9.99,https://www.anytimemailbox.com/s/leland-1108-new-pointe-blvd,https://www.google.com/maps/place/1108+New+Pointe+Blvd%2C+Leland%2C+NC+28451
NC,Asheville,"125 S Lexington Ave, Asheville, NC 28801",$12.99,https://www.anytimemailbox.com/s/asheville-125-s-lexington-avenue,https://www.google.com/maps/place/125+S+Lexington+Ave%2C+Asheville%2C+NC+28801
NH,Laconia,"51 Elm St, Laconia, NH 03246",$39.00,https://www.anytimemailbox.com/s/laconia-51-elm-street,https://www.google.com/maps/place/51+Elm+St%2C+Laconia%2C+NH+03246
NJ,Robbinsville,"2360 Route 33, Robbinsville, NJ 08691",$9.99,https://www.anytimemailbox.com/s/robbinsville-2360-route-33,https://www.google.com/maps/place/2360+Route+33%2C+Robbinsville%2C+NJ+08691
NJ,"Short Hills","514 Millburn Ave, Short Hills, NJ 07078",$13.99,https://www.anytimemailbox.com/s/short-hills-514-millburn-avenue,https://www.google.com/maps/place/514+Millburn+Ave%2C+Short+Hills%2C+NJ+07078
NJ,"North Brunswick","643 Georges Rd, North Brunswick, NJ 08902",$14.99,https://www.anytimemailbox.com/s/north-brunswick-643-georges-rd,https://www.google.com/maps/place/643+Georges+Rd%2C+North+Brunswick%2C+NJ+08902
NJ,Elizabeth,"1077 North Ave, Elizabeth, NJ 07201",$19.99,https://www.anytimemailbox.com/s/elizabeth-1077-north-avenue,https://www.google.com/maps/place/1077+North+Ave%2C+Elizabeth%2C+NJ+07201
NJ,Matawan,"100 Matawan Rd, Matawan, NJ 07747",$19.99,https://www.anytimemailbox.com/s/matawan-100-matawan-road,https://www.google.com/maps/place/100+Matawan+Rd%2C+Matawan%2C+NJ+07747
NY,"Port Washington","191 Main Street, Port Washington, NY 11050",$8.99,https://www.anytimemailbox.com/s/port-washington-191-main-street,https://www.google.com/maps/place/191+Main+Street%2C+Port+Washington%2C+NY+11050
NY,Astoria,"2509 Astoria Blvd, Astoria, NY 11102",$9.99,https://www.anytimemailbox.com/s/astoria-2509-astoria-boulevard,https://www.google.com/maps/place/2509+Astoria+Blvd%2C+Astoria%2C+NY+11102
NY,Brewster,"12 Main St, Brewster, NY 10509",$9.99,https://www.anytimemailbox.com/s/brewster-12-main-street,https://www.google.com/maps/place/12+Main+St%2C+Brewster%2C+NY+10509
NY,"Little Neck","248-25 Northern Blvd, Little Neck, NY 11362",$9.99,https://www.anytimemailbox.com/s/little-neck-248-25-northern-blvd,https://www.google.com/maps/place/248-25+Northern+Blvd%2C+Little+Neck%2C+NY+11362
NY,"Long Island City","3164 21st St, Long Island City, NY 11106",$9.99,https://www.anytimemailbox.com/s/long-island-city-3164-21st-street,https://www.google.com/maps/place/3164+21st+St%2C+Long+Island+City%2C+NY+11106
NY,"New York","1648 Amsterdam Avenue, New York, NY 10031",$9.99,https://www.anytimemailbox.com/s/new-york-1648-amsterdam-avenue,https://www.google.com/maps/place/1648+Amsterdam+Avenue%2C+New+York%2C+NY+10031
NY,Brooklyn,"697 Grand St, Brooklyn, NY 11211",$11.99,https://www.anytimemailbox.com/s/brooklyn-697-grand-st,https://www.google.com/maps/place/697+Grand+St%2C+Brooklyn%2C+NY+11211
NY,Brooklyn,"285 Nostrand Ave, Brooklyn, NY 11216",$11.99,https://www.anytimemailbox.com/s/brooklyn-285-nostrand-avenue,https://www.google.com/maps/place/285+Nostrand+Ave%2C+Brooklyn%2C+NY+11216
NY,Brooklyn,"367 St Marks Ave, Brooklyn, NY 11238",$12.50,https://www.anytimemailbox.com/s/brooklyn-367-st-marks-avenue,https://www.google.com/maps/place/367+St+Marks+Ave%2C+Brooklyn%2C+NY+11238
NY,Astoria,"2810 23rd Ave, Astoria, NY 11105",$14.99,https://www.anytimemailbox.com/s/astoria-2810-23rd-avenue,https://www.google.com/maps/place/2810+23rd+Ave%2C+Astoria%2C+NY+11105
NY,Brooklyn,"223 Bedford Ave, Brooklyn, NY 11211",$18.99,https://www.anytimemailbox.com/s/brooklyn-223-bedford-avenue,https://www.google.com/maps/place/223+Bedford+Ave%2C+Brooklyn%2C+NY+11211
NY,Bronx,"1450 Allerton Ave, Bronx, NY 10469",$19.99,https://www.anytimemailbox.com/s/bronx-1450-allerton-avenue,https://www.google.com/maps/place/1450+Allerton+Ave%2C+Bronx%2C+NY+10469
NY,Bronx,"1490 Crotona Park E, Bronx, NY 10460",$19.99,https://www.anytimemailbox.com/s/bronx-1490-crotona-park-e,https://www.google.com/maps/place/1490+Crotona+Park+E%2C+Bronx%2C+NY+10460
NY,Brooklyn,"238 Wilson Ave, Brooklyn, NY 11237",$19.99,https://www.anytimemailbox.com/s/brooklyn-238-wilson-avenue,https://www.google.com/maps/place/238+Wilson+Ave%2C+Brooklyn%2C+NY+11237
NY,"New York","2196 Third Ave, New York, NY 10035",$24.99,https://www.anytimemailbox.com/s/new-york-2196-third-avenue,https://www.google.com/maps/place/2196+Third+Ave%2C+New+York%2C+NY+10035
NY,Brooklyn,"495 Henry St, Brooklyn, NY 11231",$33.33,https://www.anytimemailbox.com/s/brooklyn-495a-henry-street,https://www.google.com/maps/place/495+Henry+St%2C+Brooklyn%2C+NY+11231
